,loss,accuracy,model
0,8.385052104949951,0.35133333333333333,TwoLayerGCNLinearHead
1,5.565079326084682,0.3526666666666667,TwoLayerGCNLinearHead
2,5.515929167066302,0.39366666666666666,TwoLayerGCNLinearHead
3,5.496035935538155,0.447,TwoLayerGCNLinearHead
4,5.478395776476179,0.48033333333333333,TwoLayerGCNLinearHead
5,5.443945619855608,0.53,TwoLayerGCNLinearHead
6,5.388586050306047,0.573,TwoLayerGCNLinearHead
7,5.337144377572196,0.611,TwoLayerGCNLinearHead
8,5.280492446899414,0.631,TwoLayerGCNLinearHead
9,5.226106640951974,0.6683333333333333,TwoLayerGCNLinearHead
10,5.152902954646519,0.6943333333333334,TwoLayerGCNLinearHead
11,5.1013564763750345,0.725,TwoLayerGCNLinearHead
12,5.036460184369768,0.7546666666666667,TwoLayerGCNLinearHead
13,4.980150399889265,0.7743333333333333,TwoLayerGCNLinearHead
14,4.923716645377023,0.79,TwoLayerGCNLinearHead
15,4.8524660388401575,0.8096666666666666,TwoLayerGCNLinearHead
16,4.805921909604754,0.8216666666666667,TwoLayerGCNLinearHead
17,4.759116102218628,0.8343333333333334,TwoLayerGCNLinearHead
18,4.7193606665475025,0.8463333333333334,TwoLayerGCNLinearHead
19,4.678571922574725,0.8556666666666667,TwoLayerGCNLinearHead
20,4.6389341640472415,0.8643333333333333,TwoLayerGCNLinearHead
21,4.608888360977173,0.8696666666666667,TwoLayerGCNLinearHead
22,4.581935682024275,0.878,TwoLayerGCNLinearHead
23,4.538654235294887,0.884,TwoLayerGCNLinearHead
24,4.515153277805873,0.8873333333333333,TwoLayerGCNLinearHead
25,4.50530350112915,0.892,TwoLayerGCNLinearHead
26,4.47388051550729,0.8936666666666667,TwoLayerGCNLinearHead
27,4.456707280022758,0.8966666666666666,TwoLayerGCNLinearHead
28,4.438129185540335,0.896,TwoLayerGCNLinearHead
29,4.420336091450283,0.9006666666666666,TwoLayerGCNLinearHead
30,4.406911961964198,0.901,TwoLayerGCNLinearHead
31,4.391149375643049,0.9023333333333333,TwoLayerGCNLinearHead
32,4.375221576418196,0.9053333333333333,TwoLayerGCNLinearHead
33,4.363160427365984,0.9053333333333333,TwoLayerGCNLinearHead
34,4.3417757037026545,0.9093333333333333,TwoLayerGCNLinearHead
35,4.34246896471296,0.9143333333333333,TwoLayerGCNLinearHead
36,4.333720924377442,0.906,TwoLayerGCNLinearHead
37,4.308064802987235,0.9093333333333333,TwoLayerGCNLinearHead
38,4.304228066853114,0.9126666666666666,TwoLayerGCNLinearHead
39,4.292941786902292,0.9143333333333333,TwoLayerGCNLinearHead
40,4.286539868218558,0.9143333333333333,TwoLayerGCNLinearHead
41,4.283763081959315,0.918,TwoLayerGCNLinearHead
42,4.272982543400356,0.9126666666666666,TwoLayerGCNLinearHead
43,4.264607656206404,0.9143333333333333,TwoLayerGCNLinearHead
44,4.2606393958500455,0.9133333333333333,TwoLayerGCNLinearHead
45,4.24932835987636,0.9173333333333333,TwoLayerGCNLinearHead
46,4.2408460529872345,0.9206666666666666,TwoLayerGCNLinearHead
47,4.2366965334756035,0.9146666666666666,TwoLayerGCNLinearHead
48,4.231022369384766,0.918,TwoLayerGCNLinearHead
49,4.228933333260672,0.9176666666666666,TwoLayerGCNLinearHead
50,4.225564095633371,0.9186666666666666,TwoLayerGCNLinearHead
51,4.222182386398315,0.9223333333333333,TwoLayerGCNLinearHead
52,4.221722644260951,0.923,TwoLayerGCNLinearHead
53,4.214078272955758,0.921,TwoLayerGCNLinearHead
54,4.20622136252267,0.9206666666666666,TwoLayerGCNLinearHead
55,4.202844442095075,0.921,TwoLayerGCNLinearHead
56,4.206401262828282,0.921,TwoLayerGCNLinearHead
57,4.195584032876151,0.9213333333333333,TwoLayerGCNLinearHead
58,4.196314831052508,0.92,TwoLayerGCNLinearHead
59,4.196058104651315,0.9216666666666666,TwoLayerGCNLinearHead
60,4.189624009268624,0.922,TwoLayerGCNLinearHead
61,4.190238158089774,0.9233333333333333,TwoLayerGCNLinearHead
62,4.1886501846313475,0.919,TwoLayerGCNLinearHead
63,4.188017595563616,0.9223333333333333,TwoLayerGCNLinearHead
64,4.1852624773297995,0.9206666666666666,TwoLayerGCNLinearHead
65,4.18232053892953,0.923,TwoLayerGCNLinearHead
66,4.183697997774397,0.9206666666666666,TwoLayerGCNLinearHead
67,4.184381193978446,0.9236666666666666,TwoLayerGCNLinearHead
68,4.18182163483756,0.922,TwoLayerGCNLinearHead
69,4.181304447174072,0.923,TwoLayerGCNLinearHead
70,4.180205046789987,0.9236666666666666,TwoLayerGCNLinearHead
71,4.176608223778861,0.9246666666666666,TwoLayerGCNLinearHead
72,4.179258152825492,0.923,TwoLayerGCNLinearHead
73,4.173037901742117,0.924,TwoLayerGCNLinearHead
74,4.175813832964216,0.923,TwoLayerGCNLinearHead
75,4.172388060706003,0.922,TwoLayerGCNLinearHead
76,4.171426312855312,0.9206666666666666,TwoLayerGCNLinearHead
77,4.173472116470337,0.9216666666666666,TwoLayerGCNLinearHead
78,4.171684704371861,0.921,TwoLayerGCNLinearHead
79,4.1697894431522915,0.9226666666666666,TwoLayerGCNLinearHead
80,4.168545304162162,0.9226666666666666,TwoLayerGCNLinearHead
81,4.166341885430472,0.9256666666666666,TwoLayerGCNLinearHead
82,4.1701404544285365,0.926,TwoLayerGCNLinearHead
83,4.170101598739624,0.9223333333333333,TwoLayerGCNLinearHead
84,4.1655083037785126,0.9236666666666666,TwoLayerGCNLinearHead
85,4.1687773380279545,0.9243333333333333,TwoLayerGCNLinearHead
