,loss,accuracy,model
0,5.673096199035644,0.24666666666666667,TopK
1,5.494660933358329,0.24,TopK
2,5.477438686915806,0.30666666666666664,TopK
3,5.468251370021275,0.31,TopK
4,5.451026684897286,0.3233333333333333,TopK
5,5.446129297528948,0.3333333333333333,TopK
6,5.4247969354902,0.36333333333333334,TopK
7,5.425366071973528,0.37333333333333335,TopK
8,5.405317783355713,0.38666666666666666,TopK
9,5.40789922441755,0.3933333333333333,TopK
10,5.375063353947231,0.43333333333333335,TopK
11,5.385568730490548,0.44333333333333336,TopK
12,5.3448395238603865,0.45,TopK
13,5.357057181767055,0.4266666666666667,TopK
14,5.320277511051723,0.43666666666666665,TopK
15,5.292892905644008,0.4633333333333333,TopK
16,5.2800886372157505,0.44666666666666666,TopK
17,5.253143994467599,0.4666666666666667,TopK
18,5.247086982727051,0.4866666666666667,TopK
19,5.228872081211635,0.48,TopK
20,5.1950591250828335,0.4633333333333333,TopK
21,5.184789619445801,0.4766666666666667,TopK
22,5.180326227460589,0.49,TopK
23,5.200800901140486,0.48333333333333334,TopK
24,5.172857510702951,0.45666666666666667,TopK
25,5.260822841099331,0.38666666666666666,TopK
26,5.36962960924421,0.39666666666666667,TopK
27,5.239388833727156,0.45,TopK
28,5.258265574319022,0.4066666666666667,TopK
29,5.420268355778285,0.45,TopK
30,5.3152960014343265,0.5033333333333333,TopK
31,5.170398594992501,0.5233333333333333,TopK
32,5.123968699319022,0.49666666666666665,TopK
33,5.092179017748151,0.5266666666666666,TopK
34,5.069925795963832,0.5366666666666666,TopK
35,5.0101527404785156,0.55,TopK
36,5.000555700574602,0.53,TopK
37,4.968384772709438,0.5433333333333333,TopK
38,4.933353366851807,0.5266666666666666,TopK
39,4.894554952893938,0.5366666666666666,TopK
40,4.897604825156075,0.54,TopK
41,4.868969494955881,0.5433333333333333,TopK
42,4.85773814882551,0.54,TopK
43,4.818578676496233,0.55,TopK
44,4.777730737413679,0.5566666666666666,TopK
45,4.780085980551584,0.5866666666666667,TopK
46,4.7440260205950056,0.5766666666666667,TopK
47,4.692980809892927,0.58,TopK
48,4.693415903363909,0.56,TopK
49,4.677370507376534,0.5533333333333333,TopK
50,4.688180732727051,0.56,TopK
51,4.7232605225699285,0.5666666666666667,TopK
52,4.699247643607003,0.5766666666666667,TopK
53,4.684529375348772,0.5633333333333334,TopK
54,4.662756320408413,0.5666666666666667,TopK
55,4.623979350498744,0.5466666666666666,TopK
56,4.621698529379708,0.5666666666666667,TopK
57,4.594712734222412,0.5733333333333334,TopK
58,4.556857087271554,0.57,TopK
59,4.542677061898368,0.56,TopK
60,4.569049175807408,0.5466666666666666,TopK
61,4.6996174267360145,0.5666666666666667,TopK
62,4.704003859928676,0.6,TopK
63,4.71542898450579,0.5833333333333334,TopK
64,4.712736579350063,0.5933333333333334,TopK
65,4.667010236467634,0.6166666666666667,TopK
66,4.598227124895368,0.6033333333333334,TopK
67,4.569995528629848,0.6,TopK
68,4.532571629115513,0.59,TopK
69,4.510483921595982,0.6133333333333333,TopK
70,4.492945643833705,0.65,TopK
71,4.494629704611642,0.63,TopK
72,4.451150324685233,0.6166666666666667,TopK
73,4.434091750553676,0.6133333333333333,TopK
74,4.4037321662902835,0.5966666666666667,TopK
75,4.399785891941615,0.6266666666666667,TopK
76,4.372153282165527,0.6233333333333333,TopK
77,4.367565351213727,0.6366666666666667,TopK
78,4.360158045632499,0.62,TopK
79,4.354699835096087,0.6233333333333333,TopK
80,4.327416602543422,0.6166666666666667,TopK
81,4.307903366088867,0.6033333333333334,TopK
82,4.305426428658621,0.61,TopK
83,4.294496310097831,0.6466666666666666,TopK
84,4.288295595986503,0.6233333333333333,TopK
85,4.27903664452689,0.6433333333333333,TopK
86,4.26757823399135,0.6366666666666667,TopK
87,4.263647681644985,0.63,TopK
88,4.267065456935337,0.6233333333333333,TopK
89,4.256334620884487,0.65,TopK
90,4.2376686927250455,0.6366666666666667,TopK
91,4.233751032693045,0.6366666666666667,TopK
92,4.2277049091884065,0.6366666666666667,TopK
93,4.215988875797817,0.6333333333333333,TopK
94,4.217588288443429,0.63,TopK
95,4.209144909722465,0.63,TopK
96,4.207094471795219,0.6433333333333333,TopK
97,4.201061195646013,0.6066666666666667,TopK
98,4.191793706076486,0.6166666666666667,TopK
99,4.1852353559221545,0.63,TopK
100,4.179467071805681,0.63,TopK
101,4.180828241620745,0.6233333333333333,TopK
102,4.182461881637574,0.63,TopK
103,4.179598185675485,0.61,TopK
104,4.174711971282959,0.6166666666666667,TopK
105,4.171041439601353,0.61,TopK
106,4.169643531526838,0.62,TopK
107,4.1689234488351,0.6,TopK
108,4.166564772469656,0.5966666666666667,TopK
109,4.162165062768119,0.6233333333333333,TopK
110,4.15422248840332,0.6233333333333333,TopK
111,4.163199182237897,0.6166666666666667,TopK
112,4.148548735209873,0.61,TopK
113,4.167471719469343,0.62,TopK
114,4.148747222082956,0.6133333333333333,TopK
115,4.1561469554901125,0.6233333333333333,TopK
116,4.142438342230661,0.6366666666666667,TopK
117,4.148292830330985,0.6266666666666667,TopK
118,4.138211118153164,0.6166666666666667,TopK
119,4.136872359684536,0.6166666666666667,TopK
120,4.136907604762486,0.62,TopK
121,4.133497746331352,0.63,TopK
122,4.128332798821585,0.63,TopK
123,4.132025777271815,0.6466666666666666,TopK
124,4.124257011413574,0.6433333333333333,TopK
125,4.134204013007028,0.6233333333333333,TopK
126,4.129891097205026,0.6233333333333333,TopK
127,4.127992100034441,0.63,TopK
128,4.122314104352679,0.6166666666666667,TopK
129,4.125973501205444,0.6166666666666667,TopK
130,4.115804556437901,0.6266666666666667,TopK
131,4.1197388471875875,0.6433333333333333,TopK
132,4.118142971311297,0.6466666666666666,TopK
133,4.118683222361973,0.6366666666666667,TopK
134,4.1225543853214806,0.6433333333333333,TopK
135,4.141587093898228,0.6266666666666667,TopK
136,4.133976678848267,0.63,TopK
137,4.136604642868042,0.62,TopK
138,4.128269368580409,0.6266666666666667,TopK
139,4.140218524932862,0.62,TopK
140,4.128568574360439,0.6166666666666667,TopK
141,4.149202363150461,0.6066666666666667,TopK
142,4.130442138399396,0.6366666666666667,TopK
143,4.125091199874878,0.62,TopK
144,4.127692029135567,0.64,TopK
145,4.120083890642438,0.6433333333333333,TopK
146,4.122643191473824,0.6366666666666667,TopK
147,4.115929993220738,0.64,TopK
148,4.109164800643921,0.6366666666666667,TopK
149,4.112820971352713,0.6333333333333333,TopK
150,4.11386307988848,0.6366666666666667,TopK
151,4.112108353206089,0.6266666666666667,TopK
152,4.118207773481097,0.63,TopK
153,4.104023724964687,0.6333333333333333,TopK
154,4.107128358568464,0.63,TopK
155,4.108444373267037,0.6333333333333333,TopK
156,4.101878295625959,0.64,TopK
157,4.105799018314906,0.6433333333333333,TopK
158,4.108189967019217,0.6333333333333333,TopK
159,4.1111690739222935,0.63,TopK
160,4.1056358228411,0.6333333333333333,TopK
161,4.104515928540911,0.6333333333333333,TopK
162,4.107523811885288,0.6333333333333333,TopK
163,4.106962375640869,0.6266666666666667,TopK
164,4.099276113510132,0.62,TopK
165,4.104153065000261,0.6133333333333333,TopK
166,4.111238058635167,0.62,TopK
167,4.108257435389928,0.6266666666666667,TopK
168,4.097846693311419,0.6266666666666667,TopK
169,4.101734011513846,0.6233333333333333,TopK
170,4.0997630269186836,0.6266666666666667,TopK
171,4.0999762780325755,0.6333333333333333,TopK
172,4.100455002103533,0.6366666666666667,TopK
173,4.098946956907,0.6366666666666667,TopK
174,4.098262327739171,0.6466666666666666,TopK
175,4.101606152398245,0.6433333333333333,TopK
176,4.098901711872646,0.6433333333333333,TopK
177,4.105922865186419,0.6533333333333333,TopK
178,4.094600929532732,0.6066666666666667,TopK
179,4.100439706529889,0.63,TopK
180,4.095849699292864,0.6566666666666666,TopK
181,4.10766225542341,0.67,TopK
182,4.1155575793130055,0.6633333333333333,TopK
