,loss,accuracy,model
0,11.959669985089983,0.4,TwoLayerGCNLinearHead
1,8.694192886352539,0.31,TwoLayerGCNLinearHead
2,6.994679799761091,0.3,TwoLayerGCNLinearHead
3,6.171981326511928,0.3,TwoLayerGCNLinearHead
4,5.827642710549491,0.31,TwoLayerGCNLinearHead
5,5.767879306248256,0.3233333333333333,TwoLayerGCNLinearHead
6,5.666083431243896,0.3333333333333333,TwoLayerGCNLinearHead
7,5.638305459703718,0.38,TwoLayerGCNLinearHead
8,5.532752031598772,0.42,TwoLayerGCNLinearHead
9,5.538452935900007,0.44666666666666666,TwoLayerGCNLinearHead
10,5.427800927843366,0.47,TwoLayerGCNLinearHead
11,5.429194305964879,0.49666666666666665,TwoLayerGCNLinearHead
12,5.429585535866874,0.5166666666666667,TwoLayerGCNLinearHead
13,5.396602807726179,0.5266666666666666,TwoLayerGCNLinearHead
14,5.38017459324428,0.5066666666666667,TwoLayerGCNLinearHead
15,5.364405929020473,0.5033333333333333,TwoLayerGCNLinearHead
16,5.380017790113176,0.5133333333333333,TwoLayerGCNLinearHead
17,5.3524445615495955,0.5433333333333333,TwoLayerGCNLinearHead
18,5.351798779623849,0.5566666666666666,TwoLayerGCNLinearHead
19,5.342623081207275,0.5766666666666667,TwoLayerGCNLinearHead
20,5.373915143694196,0.5933333333333334,TwoLayerGCNLinearHead
21,5.315634400503976,0.5733333333333334,TwoLayerGCNLinearHead
22,5.306879506792341,0.58,TwoLayerGCNLinearHead
23,5.311525829860142,0.58,TwoLayerGCNLinearHead
24,5.315442390441895,0.5733333333333334,TwoLayerGCNLinearHead
25,5.299254016876221,0.6,TwoLayerGCNLinearHead
26,5.277586465563093,0.5966666666666667,TwoLayerGCNLinearHead
27,5.293970380510602,0.6266666666666667,TwoLayerGCNLinearHead
28,5.279280079432896,0.64,TwoLayerGCNLinearHead
29,5.2728248350960865,0.6333333333333333,TwoLayerGCNLinearHead
30,5.255107383728028,0.64,TwoLayerGCNLinearHead
31,5.25216217313494,0.6333333333333333,TwoLayerGCNLinearHead
32,5.22785101209368,0.6233333333333333,TwoLayerGCNLinearHead
33,5.208996050698417,0.6466666666666666,TwoLayerGCNLinearHead
34,5.199397065298898,0.65,TwoLayerGCNLinearHead
35,5.178577910831996,0.66,TwoLayerGCNLinearHead
36,5.15878349849156,0.6666666666666666,TwoLayerGCNLinearHead
37,5.18940347126552,0.6733333333333333,TwoLayerGCNLinearHead
38,5.158245743342809,0.6833333333333333,TwoLayerGCNLinearHead
39,5.173673515319824,0.6733333333333333,TwoLayerGCNLinearHead
40,5.142966303144182,0.6866666666666666,TwoLayerGCNLinearHead
41,5.129201583862304,0.7,TwoLayerGCNLinearHead
42,5.129103521619524,0.7066666666666667,TwoLayerGCNLinearHead
43,5.087288932800293,0.71,TwoLayerGCNLinearHead
44,5.083048967633928,0.71,TwoLayerGCNLinearHead
45,5.0514573424203055,0.6833333333333333,TwoLayerGCNLinearHead
46,5.0903371129717145,0.7133333333333334,TwoLayerGCNLinearHead
47,5.0479762131827215,0.7066666666666667,TwoLayerGCNLinearHead
48,5.021995064871652,0.7033333333333334,TwoLayerGCNLinearHead
49,5.0133526938302175,0.7,TwoLayerGCNLinearHead
50,5.010273203168596,0.7133333333333334,TwoLayerGCNLinearHead
51,4.9712349210466655,0.71,TwoLayerGCNLinearHead
52,4.988662599836077,0.7133333333333334,TwoLayerGCNLinearHead
53,4.953987922668457,0.71,TwoLayerGCNLinearHead
54,4.9451022039140975,0.71,TwoLayerGCNLinearHead
55,4.945544845036098,0.7133333333333334,TwoLayerGCNLinearHead
56,4.9438401848929265,0.7233333333333334,TwoLayerGCNLinearHead
57,4.9201862989153184,0.7033333333333334,TwoLayerGCNLinearHead
58,4.8661616543361115,0.7166666666666667,TwoLayerGCNLinearHead
59,4.883682776859828,0.72,TwoLayerGCNLinearHead
60,4.877047582353865,0.74,TwoLayerGCNLinearHead
61,4.8625207683018274,0.74,TwoLayerGCNLinearHead
62,4.834179082598005,0.7433333333333333,TwoLayerGCNLinearHead
63,4.834082859584264,0.7433333333333333,TwoLayerGCNLinearHead
64,4.816531797136579,0.7533333333333333,TwoLayerGCNLinearHead
65,4.778426388331822,0.75,TwoLayerGCNLinearHead
66,4.79417316709246,0.7633333333333333,TwoLayerGCNLinearHead
67,4.76839359828404,0.76,TwoLayerGCNLinearHead
68,4.744107548849923,0.7566666666666667,TwoLayerGCNLinearHead
69,4.7404348809378485,0.7533333333333333,TwoLayerGCNLinearHead
70,4.731271046229772,0.7666666666666667,TwoLayerGCNLinearHead
71,4.728484265463693,0.7633333333333333,TwoLayerGCNLinearHead
72,4.685755258287703,0.77,TwoLayerGCNLinearHead
73,4.686233915601458,0.7733333333333333,TwoLayerGCNLinearHead
74,4.694851060594831,0.7766666666666666,TwoLayerGCNLinearHead
75,4.677434997558594,0.78,TwoLayerGCNLinearHead
76,4.651931980678014,0.78,TwoLayerGCNLinearHead
77,4.633896138327462,0.7766666666666666,TwoLayerGCNLinearHead
78,4.633777078901018,0.7766666666666666,TwoLayerGCNLinearHead
79,4.6156040409633095,0.7766666666666666,TwoLayerGCNLinearHead
80,4.605288148607526,0.7733333333333333,TwoLayerGCNLinearHead
81,4.592863535199847,0.7833333333333333,TwoLayerGCNLinearHead
82,4.583382440294538,0.7933333333333333,TwoLayerGCNLinearHead
83,4.572244028363909,0.79,TwoLayerGCNLinearHead
84,4.561758678981236,0.7833333333333333,TwoLayerGCNLinearHead
85,4.517521781921387,0.7866666666666666,TwoLayerGCNLinearHead
