,loss,accuracy,model
57,"tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)",0.5466666666666666,TransductiveSuperGAT
58,"tensor(0.0012, device='cuda:0', grad_fn=<DivBackward0>)",0.5866666666666667,TransductiveSuperGAT
59,"tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)",0.6,TransductiveSuperGAT
60,"tensor(0.0011, device='cuda:0', grad_fn=<DivBackward0>)",0.6,TransductiveSuperGAT
61,"tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)",0.58,TransductiveSuperGAT
62,"tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)",0.5733333333333334,TransductiveSuperGAT
63,"tensor(0.0011, device='cuda:0', grad_fn=<DivBackward0>)",0.5633333333333334,TransductiveSuperGAT
64,"tensor(0.0011, device='cuda:0', grad_fn=<DivBackward0>)",0.5966666666666667,TransductiveSuperGAT
65,"tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)",0.6566666666666666,TransductiveSuperGAT
66,"tensor(0.0013, device='cuda:0', grad_fn=<DivBackward0>)",0.63,TransductiveSuperGAT
67,"tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>)",0.5966666666666667,TransductiveSuperGAT
68,"tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)",0.58,TransductiveSuperGAT
69,"tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)",0.5866666666666667,TransductiveSuperGAT
70,"tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>)",0.62,TransductiveSuperGAT
71,"tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",0.63,TransductiveSuperGAT
72,"tensor(0.0008, device='cuda:0', grad_fn=<DivBackward0>)",0.6066666666666667,TransductiveSuperGAT
73,"tensor(0.0008, device='cuda:0', grad_fn=<DivBackward0>)",0.6033333333333334,TransductiveSuperGAT
74,"tensor(0.0010, device='cuda:0', grad_fn=<DivBackward0>)",0.59,TransductiveSuperGAT
75,"tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",0.6066666666666667,TransductiveSuperGAT
76,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.6266666666666667,TransductiveSuperGAT
77,"tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",0.6733333333333333,TransductiveSuperGAT
78,"tensor(0.0008, device='cuda:0', grad_fn=<DivBackward0>)",0.6733333333333333,TransductiveSuperGAT
79,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.68,TransductiveSuperGAT
80,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.68,TransductiveSuperGAT
81,"tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",0.6766666666666666,TransductiveSuperGAT
82,"tensor(0.0007, device='cuda:0', grad_fn=<DivBackward0>)",0.68,TransductiveSuperGAT
83,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.7266666666666667,TransductiveSuperGAT
84,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.7533333333333333,TransductiveSuperGAT
85,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.7366666666666667,TransductiveSuperGAT
86,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.7233333333333334,TransductiveSuperGAT
87,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.74,TransductiveSuperGAT
88,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.7666666666666667,TransductiveSuperGAT
89,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.7866666666666666,TransductiveSuperGAT
90,"tensor(0.0006, device='cuda:0', grad_fn=<DivBackward0>)",0.79,TransductiveSuperGAT
91,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.78,TransductiveSuperGAT
92,"tensor(0.0004, device='cuda:0', grad_fn=<DivBackward0>)",0.7733333333333333,TransductiveSuperGAT
93,"tensor(0.0005, device='cuda:0', grad_fn=<DivBackward0>)",0.76,TransductiveSuperGAT
